case,case_name,candidate,total_motion,inner_leap_count,inner_leap_excess,step,symbol,S,A,T,B,S_midi,A_midi,T_midi,B_midi
19,イ短調: 基本カデンツ (I-IV-V-I),1,37,0,0,4,I,A4,E4,C4,A3,69,64,60,57
20,イ短調: 根音省略属九と偽終止 (I-II6-VII7-I-VI-II6-V7-I),1,48,0,0,1,I,A4,E4,C4,A2,69,64,60,45
20,イ短調: 根音省略属九と偽終止 (I-II6-VII7-I-VI-II6-V7-I),1,48,0,0,2,II6,B4,F4,D4,D3,71,65,62,50
20,イ短調: 根音省略属九と偽終止 (I-II6-VII7-I-VI-II6-V7-I),1,48,0,0,3,VII7,B4,F4,D4,G#3,71,65,62,56
20,イ短調: 根音省略属九と偽終止 (I-II6-VII7-I-VI-II6-V7-I),1,48,0,0,4,I,A4,E4,C4,A3,69,64,60,57
20,イ短調: 根音省略属九と偽終止 (I-II6-VII7-I-VI-II6-V7-I),1,48,0,0,5,VI,A4,F4,C4,F3,69,65,60,53
20,イ短調: 根音省略属九と偽終止 (I-II6-VII7-I-VI-II6-V7-I),1,48,0,0,6,II6,B4,F4,D4,D3,71,65,62,50
20,イ短調: 根音省略属九と偽終止 (I-II6-VII7-I-VI-II6-V7-I),1,48,0,0,7,V7,G#4,E4,D4,E3,68,64,62,52
20,イ短調: 根音省略属九と偽終止 (I-II6-VII7-I-VI-II6-V7-I),1,48,0,0,8,I,A4,E4,C4,A3,69,64,60,57
21,イ短調: 属七第3転回形からの解決 (I-IV-V2-I6-II6-V7-I),1,59,0,0,1,I,A4,E4,C4,A2,69,64,60,45
21,イ短調: 属七第3転回形からの解決 (I-IV-V2-I6-II6-V7-I),1,59,0,0,2,IV,A4,F4,D4,D3,69,65,62,50
21,イ短調: 属七第3転回形からの解決 (I-IV-V2-I6-II6-V7-I),1,59,0,0,3,V2,G#4,E4,B3,D3,68,64,59,50
21,イ短調: 属七第3転回形からの解決 (I-IV-V2-I6-II6-V7-I),1,59,0,0,4,I6,A4,E4,A3,C3,69,64,57,48
21,イ短調: 属七第3転回形からの解決 (I-IV-V2-I6-II6-V7-I),1,59,0,0,5,II6,F4,D4,B3,D3,65,62,59,50
21,イ短調: 属七第3転回形からの解決 (I-IV-V2-I6-II6-V7-I),1,59,0,0,6,V7,E4,D4,G#3,E3,64,62,56,52
21,イ短調: 属七第3転回形からの解決 (I-IV-V2-I6-II6-V7-I),1,59,0,0,7,I,E4,C4,A3,A2,64,60,57,45
22,ハ短調: 偽終止と第1転回形 (I-IV-V-VI-IV6-V7-I),1,59,0,0,1,I,C5,G4,E-4,C3,72,67,63,48
22,ハ短調: 偽終止と第1転回形 (I-IV-V-VI-IV6-V7-I),1,59,0,0,2,IV,C5,G#4,F4,F3,72,68,65,53
22,ハ短調: 偽終止と第1転回形 (I-IV-V-VI-IV6-V7-I),1,59,0,0,3,V,B4,G4,D4,G3,71,67,62,55
22,ハ短調: 偽終止と第1転回形 (I-IV-V-VI-IV6-V7-I),1,59,0,0,4,VI,C5,E-4,C4,G#3,72,63,60,56
22,ハ短調: 偽終止と第1転回形 (I-IV-V-VI-IV6-V7-I),1,59,0,0,5,IV6,C5,F4,C4,G#3,72,65,60,56
22,ハ短調: 偽終止と第1転回形 (I-IV-V-VI-IV6-V7-I),1,59,0,0,6,V7,F5,G4,B3,G3,77,67,59,55
22,ハ短調: 偽終止と第1転回形 (I-IV-V-VI-IV6-V7-I),1,59,0,0,7,I,E-5,G4,C4,C3,75,67,60,48
23,ハ短調: 根音省略属九を含むカデンツ (I-IV-VII7-I-VI-IV6-V7-I),1,63,0,0,1,I,C5,G4,E-4,C3,72,67,63,48
23,ハ短調: 根音省略属九を含むカデンツ (I-IV-VII7-I-VI-IV6-V7-I),1,63,0,0,2,IV,C5,G#4,F4,F3,72,68,65,53
23,ハ短調: 根音省略属九を含むカデンツ (I-IV-VII7-I-VI-IV6-V7-I),1,63,0,0,3,VII7,D5,G#4,F4,B3,74,68,65,59
23,ハ短調: 根音省略属九を含むカデンツ (I-IV-VII7-I-VI-IV6-V7-I),1,63,0,0,4,I,C5,G4,E-4,C4,72,67,63,60
23,ハ短調: 根音省略属九を含むカデンツ (I-IV-VII7-I-VI-IV6-V7-I),1,63,0,0,5,VI,C5,G#4,E-4,G#3,72,68,63,56
23,ハ短調: 根音省略属九を含むカデンツ (I-IV-VII7-I-VI-IV6-V7-I),1,63,0,0,6,IV6,C5,G#4,F4,G#3,72,68,65,56
23,ハ短調: 根音省略属九を含むカデンツ (I-IV-VII7-I-VI-IV6-V7-I),1,63,0,0,7,V7,F5,B4,G4,G3,77,71,67,55
23,ハ短調: 根音省略属九を含むカデンツ (I-IV-VII7-I-VI-IV6-V7-I),1,63,0,0,8,I,E-5,C5,G4,C4,75,72,67,60
